stage_ft, flow_cfs	
0.00	,	2.78	
0.01	,	3.12	
0.02	,	3.49	
0.03	,	3.88	
0.04	,	4.29	
0.05	,	4.73	
0.06	,	5.19	
0.07	,	5.67	
0.08	,	6.18	
0.09	,	6.71	
0.10	,	7.26	
0.11	,	7.84	
0.12	,	8.45	
0.13	,	9.08	
0.14	,	9.74	
0.15	,	10.42	
0.16	,	11.13	
0.17	,	11.87	
0.18	,	12.63	
0.19	,	13.42	
0.20	,	14.23	
0.21	,	14.95	
0.22	,	15.69	
0.23	,	16.45	
0.24	,	17.23	
0.25	,	18.03	
0.26	,	18.85	
0.27	,	19.69	
0.28	,	20.55	
0.29	,	21.43	
0.30	,	22.33	
0.31	,	23.26	
0.32	,	24.20	
0.33	,	25.17	
0.34	,	26.15	
0.35	,	27.16	
0.36	,	28.19	
0.37	,	29.24	
0.38	,	30.31	
0.39	,	31.41	
0.40	,	32.52	
0.41	,	33.66	
0.42	,	34.82	
0.43	,	36.00	
0.44	,	37.21	
0.45	,	38.43	
0.46	,	39.68	
0.47	,	40.95	
0.48	,	42.24	
0.49	,	43.56	
0.50	,	44.90	
0.51	,	46.26	
0.52	,	47.64	
0.53	,	49.05	
0.54	,	50.47	
0.55	,	51.93	
0.56	,	53.40	
0.57	,	54.90	
0.58	,	56.42	
0.59	,	57.97	
0.60	,	59.54	
0.61	,	61.13	
0.62	,	62.74	
0.63	,	64.38	
0.64	,	66.04	
0.65	,	67.73	
0.66	,	69.44	
0.67	,	71.17	
0.68	,	72.93	
0.69	,	74.71	
0.70	,	76.52	
0.71	,	78.35	
0.72	,	80.21	
0.73	,	82.08	
0.74	,	83.99	
0.75	,	85.92	
0.76	,	87.87	
0.77	,	89.84	
0.78	,	91.85	
0.79	,	93.87	
0.80	,	95.92	
0.81	,	98.00	
0.82	,	100.10	
0.83	,	102.23	
0.84	,	104.38	
0.85	,	106.55	
0.86	,	108.75	
0.87	,	110.98	
0.88	,	113.23	
0.89	,	115.51	
0.90	,	117.81	
0.91	,	120.14	
0.92	,	122.49	
0.93	,	124.87	
0.94	,	127.27	
0.95	,	129.70	
0.96	,	132.16	
0.97	,	134.64	
0.98	,	137.15	
0.99	,	139.68	
1.00	,	142.24	
1.01	,	144.82	
1.02	,	147.43
1.03	,	150.07	
1.04	,	152.74	
1.05	,	155.43	
1.06	,	158.14	
1.07	,	160.88	
1.08	,	163.65	
1.09	,	166.45	
1.10	,	169.27	
1.11	,	172.12	
1.12	,	174.99	
1.13	,	177.90	
1.14	,	180.82	
1.15	,	183.78	
1.16	,	186.76	
1.17	,	189.75	
1.18	,	192.77	
1.19	,	195.82	
1.20	,	198.89	
1.21	,	201.99	
1.22	,	205.12	
1.23	,	208.27	
1.24	,	211.45	
1.25	,	214.66	
1.26	,	217.89	
1.27	,	221.15	
1.28	,	224.44	
1.29	,	227.75	
1.30	,	231.09	
1.31	,	234.46	
1.32	,	237.86	
1.33	,	241.28	
1.34	,	244.73	
1.35	,	248.21	
1.36	,	251.72	
1.37	,	255.25	
1.38	,	258.81	
1.39	,	262.40	
1.40	,	266.02	
1.41	,	269.66	
1.42	,	273.33	
1.43	,	277.03	
1.44	,	280.75	
1.45	,	284.51	
1.46	,	288.29	
1.47	,	292.10	
1.48	,	295.94	
1.49	,	299.80	
1.50	,	303.69	
1.51	,	307.62	
1.52	,	311.56	
1.53	,	315.54	
1.54	,	319.55	
1.55	,	323.58	
1.56	,	327.64	
1.57	,	331.73	
1.58	,	335.85	
1.59	,	340.00	
1.60	,	344.17	
1.61	,	348.38	
1.62	,	352.61	
1.63	,	356.87	
1.64	,	361.16	
1.65	,	365.48	
1.66	,	369.82	
1.67	,	374.20	
1.68	,	378.60	
1.69	,	383.03	
1.70	,	387.50	
1.71	,	391.99	
1.72	,	396.50	
1.73	,	401.05	
1.74	,	405.63	
1.75	,	410.23	
1.76	,	414.87	
1.77	,	419.53	
1.78	,	424.22	
1.79	,	428.95	
1.80	,	433.70	
1.81	,	438.48	
1.82	,	443.29	
1.83	,	448.13	
1.84	,	452.99	
1.85	,	457.89	
1.86	,	462.82	
1.87	,	467.77	
1.88	,	472.76	
1.89	,	477.77	
1.90	,	482.82	
1.91	,	487.89	
1.92	,	492.99	
1.93	,	498.13	
1.94	,	503.29	
1.95	,	508.48	
1.96	,	513.70	
1.97	,	518.96	
1.98	,	524.24	
1.99	,	529.55	
2.00	,	534.89	
