forecast_issuance,forecast_time,kcfs
1/29/2019 15:33,1/29/2019 0:00,-9999
1/29/2019 15:33,1/29/2019 1:00,-9999
1/29/2019 15:33,1/29/2019 2:00,-9999
1/29/2019 15:33,1/29/2019 3:00,-9999
1/29/2019 15:33,1/29/2019 4:00,-9999
1/29/2019 15:33,1/29/2019 5:00,-9999
1/29/2019 15:33,1/29/2019 6:00,-9999
1/29/2019 15:33,1/29/2019 7:00,-9999
1/29/2019 15:33,1/29/2019 8:00,-9999
1/29/2019 15:33,1/29/2019 9:00,-9999
1/29/2019 15:33,1/29/2019 10:00,-9999
1/29/2019 15:33,1/29/2019 11:00,-9999
1/29/2019 15:33,1/29/2019 12:00,-9999
1/29/2019 15:33,1/29/2019 13:00,-9999
1/29/2019 15:33,1/29/2019 14:00,-9999
1/29/2019 15:33,1/29/2019 15:00,-9999
1/29/2019 15:33,1/29/2019 16:00,0.74598
1/29/2019 15:33,1/29/2019 17:00,0.74186
1/29/2019 15:33,1/29/2019 18:00,0.73776
1/29/2019 15:33,1/29/2019 19:00,0.73377
1/29/2019 15:33,1/29/2019 20:00,0.72986
1/29/2019 15:33,1/29/2019 21:00,0.72598
1/29/2019 15:33,1/29/2019 22:00,0.72205
1/29/2019 15:33,1/29/2019 23:00,0.71809
1/29/2019 15:33,1/30/2019 0:00,0.71415
1/29/2019 15:33,1/30/2019 1:00,0.71032
1/29/2019 15:33,1/30/2019 2:00,0.70657
1/29/2019 15:33,1/30/2019 3:00,0.70284
1/29/2019 15:33,1/30/2019 4:00,0.69906
1/29/2019 15:33,1/30/2019 5:00,0.69526
1/29/2019 15:33,1/30/2019 6:00,0.69147
1/29/2019 15:33,1/30/2019 7:00,0.6878
1/29/2019 15:33,1/30/2019 8:00,0.68419
1/29/2019 15:33,1/30/2019 9:00,0.6806
1/29/2019 15:33,1/30/2019 10:00,0.67697
1/29/2019 15:33,1/30/2019 11:00,0.67369
1/29/2019 15:33,1/30/2019 12:00,0.67134
1/29/2019 15:33,1/30/2019 13:00,0.66882
1/29/2019 15:33,1/30/2019 14:00,0.66616
1/29/2019 15:33,1/30/2019 15:00,0.66336
1/29/2019 15:33,1/30/2019 16:00,0.66041
1/29/2019 15:33,1/30/2019 17:00,0.65735
1/29/2019 15:33,1/30/2019 18:00,0.65422
1/29/2019 15:33,1/30/2019 19:00,0.65108
1/29/2019 15:33,1/30/2019 20:00,0.64794
1/29/2019 15:33,1/30/2019 21:00,0.64477
1/29/2019 15:33,1/30/2019 22:00,0.64153
1/29/2019 15:33,1/30/2019 23:00,0.63827
1/29/2019 15:33,1/31/2019 0:00,0.635
1/29/2019 15:33,1/31/2019 1:00,0.63178
1/29/2019 15:33,1/31/2019 2:00,0.62859
1/29/2019 15:33,1/31/2019 3:00,0.62542
1/29/2019 15:33,1/31/2019 4:00,0.62222
1/29/2019 15:33,1/31/2019 5:00,0.61903
1/29/2019 15:33,1/31/2019 6:00,0.61587
1/29/2019 15:33,1/31/2019 7:00,0.61278
1/29/2019 15:33,1/31/2019 8:00,0.60976
1/29/2019 15:33,1/31/2019 9:00,0.60679
1/29/2019 15:33,1/31/2019 10:00,0.60383
1/29/2019 15:33,1/31/2019 11:00,0.60089
1/29/2019 15:33,1/31/2019 12:00,0.59799
1/29/2019 15:33,1/31/2019 13:00,0.59514
1/29/2019 15:33,1/31/2019 14:00,0.59229
1/29/2019 15:33,1/31/2019 15:00,0.58941
1/29/2019 15:33,1/31/2019 16:00,0.58645
1/29/2019 15:33,1/31/2019 17:00,0.58342
1/29/2019 15:33,1/31/2019 18:00,0.58037
1/29/2019 15:33,1/31/2019 19:00,0.57736
1/29/2019 15:33,1/31/2019 20:00,0.57435
1/29/2019 15:33,1/31/2019 21:00,0.57135
1/29/2019 15:33,1/31/2019 22:00,0.56831
1/29/2019 15:33,1/31/2019 23:00,0.56526
1/29/2019 15:33,2/1/2019 0:00,0.56224
1/29/2019 15:33,2/1/2019 1:00,0.55928
1/29/2019 15:33,2/1/2019 2:00,0.55635
1/29/2019 15:33,2/1/2019 3:00,0.55345
1/29/2019 15:33,2/1/2019 4:00,0.55052
1/29/2019 15:33,2/1/2019 5:00,0.54761
1/29/2019 15:33,2/1/2019 6:00,0.54473
1/29/2019 15:33,2/1/2019 7:00,0.54193
1/29/2019 15:33,2/1/2019 8:00,0.53918
1/29/2019 15:33,2/1/2019 9:00,0.53647
1/29/2019 15:33,2/1/2019 10:00,0.53376
1/29/2019 15:33,2/1/2019 11:00,0.53109
1/29/2019 15:33,2/1/2019 12:00,0.52844
1/29/2019 15:33,2/1/2019 13:00,0.52587
1/29/2019 15:33,2/1/2019 14:00,0.52333
1/29/2019 15:33,2/1/2019 15:00,0.5208
1/29/2019 15:33,2/1/2019 16:00,0.51824
1/29/2019 15:33,2/1/2019 17:00,0.51568
1/29/2019 15:33,2/1/2019 18:00,0.51315
1/29/2019 15:33,2/1/2019 19:00,0.51069
1/29/2019 15:33,2/1/2019 20:00,0.50828
1/29/2019 15:33,2/1/2019 21:00,0.50591
1/29/2019 15:33,2/1/2019 22:00,0.50428
