GMT,x1950,x1951,x1952,x1953,x1954,x1955,x1956,x1957,x1958,x1959,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008
1/29/2019 12:00,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609,0.76609
1/29/2019 13:00,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808,0.75808
1/29/2019 14:00,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405,0.75405
1/29/2019 15:00,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004,0.75004
1/29/2019 16:00,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598,0.74598
1/29/2019 17:00,0.74186,0.74186,0.74186,0.74186,0.74187,0.74186,0.74186,0.74186,0.74189,0.74186,0.74186,0.74186,0.74186,0.74186,0.74187,0.74186,0.74187,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74187,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74187,0.74186,0.74186,0.74187,0.74186,0.74188,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186,0.74186
1/29/2019 18:00,0.73776,0.73776,0.73776,0.73776,0.73778,0.73776,0.73776,0.73776,0.73785,0.73776,0.73776,0.73776,0.73776,0.73776,0.73778,0.73776,0.7378,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73779,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73778,0.73776,0.73776,0.73777,0.73776,0.73781,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776,0.73776
1/29/2019 19:00,0.73377,0.73377,0.73377,0.73377,0.73381,0.73377,0.73377,0.73377,0.73399,0.73377,0.73377,0.73377,0.73377,0.73377,0.73381,0.73377,0.73387,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73382,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73382,0.73377,0.73377,0.73379,0.73377,0.73388,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377,0.73377
1/29/2019 20:00,0.72986,0.72986,0.72986,0.72986,0.72994,0.72986,0.72986,0.72986,0.73033,0.72986,0.72986,0.72986,0.72986,0.72986,0.72994,0.72986,0.73007,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72997,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72996,0.72986,0.72986,0.72991,0.72986,0.73009,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986,0.72986
1/29/2019 21:00,0.72598,0.72598,0.72598,0.72598,0.72614,0.72598,0.72598,0.72598,0.72688,0.72598,0.72598,0.72598,0.72598,0.72598,0.72615,0.72598,0.72638,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.7262,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72618,0.72598,0.72598,0.72607,0.72598,0.72642,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598,0.72598
