	pst, cfs, stage_ft
  2019-01-28 00:00, 825,	2.42	
	2019-01-28 00:15, 825,	2.42	
	2019-01-28 00:30, 816,	2.41	
	2019-01-28 00:45, 825,	2.42	
	2019-01-28 01:00, 816,	2.41	
	2019-01-28 01:15, 816,	2.41	
	2019-01-28 01:30, 825,	2.42	
	2019-01-28 01:45, 816,	2.41	
	2019-01-28 02:00, 816,	2.41	
	2019-01-28 02:15, 807,	2.40	
	2019-01-28 02:30, 824,	2.42	
	2019-01-28 02:45, 815,	2.41	
	2019-01-28 03:00, 815,	2.41	
	2019-01-28 03:15, 815,	2.41	
	2019-01-28 03:30, 806,	2.40	
	2019-01-28 03:45, 806,	2.40	
	2019-01-28 04:00, 815,	2.41	
	2019-01-28 04:15, 806,	2.40	
	2019-01-28 04:30, 806,	2.40	
	2019-01-28 04:45, 806,	2.40	
	2019-01-28 05:00, 806,	2.40	
	2019-01-28 05:15, 789,	2.38	
	2019-01-28 05:30, 797,	2.39	
	2019-01-28 05:45, 780,	2.37	
	2019-01-28 06:00, 797,	2.39	
	2019-01-28 06:15, 797,	2.38	
	2019-01-28 06:30, 788,	2.37	
	2019-01-28 06:45, 788,	2.37	
	2019-01-28 07:00, 797,	2.38	
	2019-01-28 07:15, 797,	2.38	
	2019-01-28 07:30, 779,	2.36	
	2019-01-28 07:45, 797,	2.38	
	2019-01-28 08:00, 788,	2.37	
	2019-01-28 08:15, 779,	2.36	
	2019-01-28 08:30, 788,	2.37	
	2019-01-28 08:45, 779,	2.36	
	2019-01-28 09:00, 779,	2.36	
	2019-01-28 09:15, 770,	2.35	
	2019-01-28 09:30, 779,	2.36	
	2019-01-28 09:45, 779,	2.36	
	2019-01-28 10:00, 787,	2.37	
	2019-01-28 10:15, 779,	2.36	
	2019-01-28 10:30, 787,	2.37	
	2019-01-28 10:45, 779,	2.36	
	2019-01-28 11:00, 770,	2.35	
	2019-01-28 11:15, 778,	2.36	
	2019-01-28 11:30, 770,	2.35	
	2019-01-28 11:45, 770,	2.35	
	2019-01-28 12:00, 770,	2.35	
	2019-01-28 12:15, 770,	2.35	
	2019-01-28 12:30, 770,	2.35	
	2019-01-28 12:45, 770,	2.35	
	2019-01-28 13:00, 778,	2.36	
	2019-01-28 13:15, 761,	2.34	
	2019-01-28 13:30, 769,	2.35	
	2019-01-28 13:45, 769,	2.35	
	2019-01-28 14:00, 761,	2.34	
	2019-01-28 14:15, 752,	2.33	
	2019-01-28 14:30, 752,	2.33	
	2019-01-28 14:45, 760,	2.34	
	2019-01-28 15:00, 752,	2.33	
	2019-01-28 15:15, 752,	2.33	
	2019-01-28 15:30, 752,	2.33	
	2019-01-28 15:45, 752,	2.33	
	2019-01-28 16:00, 752,	2.33	
	2019-01-28 16:15, 752,	2.33	
	2019-01-28 16:30, 752,	2.33	
	2019-01-28 16:45, 743,	2.32	
	2019-01-28 17:00, 751,	2.33	
	2019-01-28 17:15, 743,	2.32	
	2019-01-28 17:30, 743,	2.32	
	2019-01-28 17:45, 743,	2.32	
	2019-01-28 18:00, 743,	2.32	
	2019-01-28 18:15, 734,	2.31	
	2019-01-28 18:30, 734,	2.31	
	2019-01-28 18:45, 743,	2.32	
	2019-01-28 19:00, 751,	2.33	
	2019-01-28 19:15, 734,	2.31	
	2019-01-28 19:30, 734,	2.31	
	2019-01-28 19:45, 734,	2.31	
	2019-01-28 20:00, 734,	2.31	
	2019-01-28 20:15, 734,	2.31	
	2019-01-28 20:30, 734,	2.31	
	2019-01-28 20:45, 725,	2.30	
	2019-01-28 21:00, 734,	2.31	
	2019-01-28 21:15, 725,	2.30	
	2019-01-28 21:30, 717,	2.29	
	2019-01-28 21:45, 725,	2.30	
	2019-01-28 22:00, 734,	2.31	
	2019-01-28 22:15, 725,	2.30	
	2019-01-28 22:30, 717,	2.29	
	2019-01-28 22:45, 717,	2.29	
	2019-01-28 23:00, 725,	2.30	
	2019-01-28 23:15, 717,	2.29	
	2019-01-28 23:30, 717,	2.29	
	2019-01-28 23:45, 717,	2.29	
	2019-01-29 00:00, 716,	2.29	
	2019-01-29 00:15, 716,	2.29	
	2019-01-29 00:30, 708,	2.28	
	2019-01-29 00:45, 708,	2.28	
	2019-01-29 01:00, 700,	2.27	
	2019-01-29 01:15, 708,	2.28	
	2019-01-29 01:30, 700,	2.27	
	2019-01-29 01:45, 708,	2.28	
	2019-01-29 02:00, 700,	2.27	
	2019-01-29 02:15, 700,	2.27	
	2019-01-29 02:30, 700,	2.27	
	2019-01-29 02:45, 699,	2.27	
	2019-01-29 03:00, 708,	2.28	
	2019-01-29 03:15, 708,	2.28	
	2019-01-29 03:30, 707,	2.28	
	2019-01-29 03:45, 699,	2.27	
	2019-01-29 04:00, 707,	2.28	
	2019-01-29 04:15, 699,	2.27	
	2019-01-29 04:30, 699,	2.27	
	2019-01-29 04:45, 691,	2.26	
	2019-01-29 05:00, 699,	2.27	
	2019-01-29 05:15, 691,	2.26	
	2019-01-29 05:30, 699,	2.27	
	2019-01-29 05:45, 691,	2.26	
	2019-01-29 06:00, 691,	2.26	
	2019-01-29 06:15, 683,	2.25	
	2019-01-29 06:30, 691,	2.26	
	2019-01-29 06:45, 690,	2.26	
	2019-01-29 07:00, 690,	2.26	
	2019-01-29 07:15, 682,	2.25	
	2019-01-29 07:30, 682,	2.25	
	2019-01-29 07:45, 682,	2.25	
	2019-01-29 08:00, 690,	2.26	
	2019-01-29 08:15, 682,	2.25	
	2019-01-29 08:30, 674,	2.24	
	2019-01-29 08:45, 682,	2.25	
	2019-01-29 09:00, 682,	2.25	
	2019-01-29 09:15, 674,	2.24	
	2019-01-29 09:30, 674,	2.24	
	2019-01-29 09:45, 674,	2.24	
	2019-01-29 10:00, 666,	2.23	
	2019-01-29 10:15, 674,	2.24	
