forecast_issuance,forecast_time,kcfs
1/13/16 15:37,1/13/16 0:00,-9999
1/13/16 15:37,1/13/16 1:00,-9999
1/13/16 15:37,1/13/16 2:00,-9999
1/13/16 15:37,1/13/16 3:00,-9999
1/13/16 15:37,1/13/16 4:00,-9999
1/13/16 15:37,1/13/16 5:00,-9999
1/13/16 15:37,1/13/16 6:00,-9999
1/13/16 15:37,1/13/16 7:00,-9999
1/13/16 15:37,1/13/16 8:00,-9999
1/13/16 15:37,1/13/16 9:00,-9999
1/13/16 15:37,1/13/16 10:00,-9999
1/13/16 15:37,1/13/16 11:00,-9999
1/13/16 15:37,1/13/16 12:00,-9999
1/13/16 15:37,1/13/16 13:00,-9999
1/13/16 15:37,1/13/16 14:00,-9999
1/13/16 15:37,1/13/16 15:00,-9999
1/13/16 15:37,1/13/16 16:00,12.557
1/13/16 15:37,1/13/16 17:00,13.61
1/13/16 15:37,1/13/16 18:00,14.377
1/13/16 15:37,1/13/16 19:00,14.723
1/13/16 15:37,1/13/16 20:00,14.906
1/13/16 15:37,1/13/16 21:00,15.034
1/13/16 15:37,1/13/16 22:00,15.164
1/13/16 15:37,1/13/16 23:00,15.317
1/13/16 15:37,1/14/16 0:00,15.502
1/13/16 15:37,1/14/16 1:00,15.739
1/13/16 15:37,1/14/16 2:00,15.87
1/13/16 15:37,1/14/16 3:00,15.848
1/13/16 15:37,1/14/16 4:00,15.609
1/13/16 15:37,1/14/16 5:00,15.16
1/13/16 15:37,1/14/16 6:00,14.413
1/13/16 15:37,1/14/16 7:00,13.351
1/13/16 15:37,1/14/16 8:00,12.255
1/13/16 15:37,1/14/16 9:00,11.165
1/13/16 15:37,1/14/16 10:00,10.131
1/13/16 15:37,1/14/16 11:00,9.282
1/13/16 15:37,1/14/16 12:00,8.499
1/13/16 15:37,1/14/16 13:00,7.806
1/13/16 15:37,1/14/16 14:00,7.2
1/13/16 15:37,1/14/16 15:00,6.67
1/13/16 15:37,1/14/16 16:00,6.208
1/13/16 15:37,1/14/16 17:00,5.806
1/13/16 15:37,1/14/16 18:00,5.457
1/13/16 15:37,1/14/16 19:00,5.194
1/13/16 15:37,1/14/16 20:00,4.98
1/13/16 15:37,1/14/16 21:00,4.835
1/13/16 15:37,1/14/16 22:00,4.791
1/13/16 15:37,1/14/16 23:00,4.903
1/13/16 15:37,1/15/16 0:00,5.294
1/13/16 15:37,1/15/16 1:00,6.166
1/13/16 15:37,1/15/16 2:00,7.573
1/13/16 15:37,1/15/16 3:00,9.141
1/13/16 15:37,1/15/16 4:00,10.442
1/13/16 15:37,1/15/16 5:00,11.274
1/13/16 15:37,1/15/16 6:00,11.527
1/13/16 15:37,1/15/16 7:00,11.313
1/13/16 15:37,1/15/16 8:00,10.788
1/13/16 15:37,1/15/16 9:00,10.143
1/13/16 15:37,1/15/16 10:00,9.562
1/13/16 15:37,1/15/16 11:00,9.018
1/13/16 15:37,1/15/16 12:00,8.504
1/13/16 15:37,1/15/16 13:00,8.019
1/13/16 15:37,1/15/16 14:00,7.561
1/13/16 15:37,1/15/16 15:00,7.134
1/13/16 15:37,1/15/16 16:00,6.745
1/13/16 15:37,1/15/16 17:00,6.395
1/13/16 15:37,1/15/16 18:00,6.074
1/13/16 15:37,1/15/16 19:00,5.771
1/13/16 15:37,1/15/16 20:00,5.476
1/13/16 15:37,1/15/16 21:00,5.188
1/13/16 15:37,1/15/16 22:00,4.921
1/13/16 15:37,1/15/16 23:00,4.686
1/13/16 15:37,1/16/16 0:00,4.485
1/13/16 15:37,1/16/16 1:00,4.317
1/13/16 15:37,1/16/16 2:00,4.18
1/13/16 15:37,1/16/16 3:00,4.069
1/13/16 15:37,1/16/16 4:00,3.984
1/13/16 15:37,1/16/16 5:00,3.931
1/13/16 15:37,1/16/16 6:00,3.903
1/13/16 15:37,1/16/16 7:00,3.914
1/13/16 15:37,1/16/16 8:00,3.971
1/13/16 15:37,1/16/16 9:00,4.079
1/13/16 15:37,1/16/16 10:00,4.203
1/13/16 15:37,1/16/16 11:00,4.314
1/13/16 15:37,1/16/16 12:00,4.411
1/13/16 15:37,1/16/16 13:00,4.498
1/13/16 15:37,1/16/16 14:00,4.58
1/13/16 15:37,1/16/16 15:00,4.678
1/13/16 15:37,1/16/16 16:00,4.807
1/13/16 15:37,1/16/16 17:00,4.992
1/13/16 15:37,1/16/16 18:00,5.282
1/13/16 15:37,1/16/16 19:00,5.745
1/13/16 15:37,1/16/16 20:00,6.402
1/13/16 15:37,1/16/16 21:00,7.159
1/13/16 15:37,1/16/16 22:00,7.874
1/13/16 15:37,1/16/16 23:00,8.458
1/13/16 15:37,1/17/16 0:00,8.888
1/13/16 15:37,1/17/16 1:00,9.172
1/13/16 15:37,1/17/16 2:00,9.334
1/13/16 15:37,1/17/16 3:00,9.399
1/13/16 15:37,1/17/16 4:00,9.392
1/13/16 15:37,1/17/16 5:00,9.304
1/13/16 15:37,1/17/16 6:00,9.099
1/13/16 15:37,1/17/16 7:00,8.759
1/13/16 15:37,1/17/16 8:00,8.312
1/13/16 15:37,1/17/16 9:00,7.815
1/13/16 15:37,1/17/16 10:00,7.328
1/13/16 15:37,1/17/16 11:00,6.882
1/13/16 15:37,1/17/16 12:00,6.482
1/13/16 15:37,1/17/16 13:00,6.119
1/13/16 15:37,1/17/16 14:00,5.784
1/13/16 15:37,1/17/16 15:00,5.476
1/13/16 15:37,1/17/16 16:00,5.202
1/13/16 15:37,1/17/16 17:00,4.967
1/13/16 15:37,1/17/16 18:00,4.773
1/13/16 15:37,1/17/16 19:00,4.62
1/13/16 15:37,1/17/16 20:00,4.505
1/13/16 15:37,1/17/16 21:00,4.42
1/13/16 15:37,1/17/16 22:00,4.356
1/13/16 15:37,1/17/16 23:00,4.307
1/13/16 15:37,1/18/16 0:00,4.274
1/13/16 15:37,1/18/16 1:00,4.26
1/13/16 15:37,1/18/16 2:00,4.267
1/13/16 15:37,1/18/16 3:00,4.309
1/13/16 15:37,1/18/16 4:00,4.4
1/13/16 15:37,1/18/16 5:00,4.564
1/13/16 15:37,1/18/16 6:00,4.861
1/13/16 15:37,1/18/16 7:00,5.385
1/13/16 15:37,1/18/16 8:00,6.192
1/13/16 15:37,1/18/16 9:00,7.222
1/13/16 15:37,1/18/16 10:00,8.365
1/13/16 15:37,1/18/16 11:00,9.601
1/13/16 15:37,1/18/16 12:00,11.16
1/13/16 15:37,1/18/16 13:00,-9999
1/13/16 15:37,1/18/16 14:00,-9999
1/13/16 15:37,1/18/16 15:00,-9999
1/13/16 15:37,1/18/16 16:00,-9999
1/13/16 15:37,1/18/16 17:00,-9999
1/13/16 15:37,1/18/16 18:00,-9999
1/13/16 15:37,1/18/16 19:00,-9999
1/13/16 15:37,1/18/16 20:00,-9999
1/13/16 15:37,1/18/16 21:00,-9999
1/13/16 15:37,1/18/16 22:00,-9999
1/13/16 15:37,1/18/16 23:00,-9999
1/13/16 18:43,1/13/16 0:00,-9999
1/13/16 18:43,1/13/16 1:00,-9999
1/13/16 18:43,1/13/16 2:00,-9999
1/13/16 18:43,1/13/16 3:00,-9999
1/13/16 18:43,1/13/16 4:00,-9999
1/13/16 18:43,1/13/16 5:00,-9999
1/13/16 18:43,1/13/16 6:00,-9999
1/13/16 18:43,1/13/16 7:00,-9999
1/13/16 18:43,1/13/16 8:00,-9999
1/13/16 18:43,1/13/16 9:00,-9999
1/13/16 18:43,1/13/16 10:00,-9999
1/13/16 18:43,1/13/16 11:00,-9999
1/13/16 18:43,1/13/16 12:00,-9999
1/13/16 18:43,1/13/16 13:00,-9999
1/13/16 18:43,1/13/16 14:00,-9999
1/13/16 18:43,1/13/16 15:00,-9999
1/13/16 18:43,1/13/16 16:00,-9999
1/13/16 18:43,1/13/16 17:00,-9999
1/13/16 18:43,1/13/16 18:00,-9999
1/13/16 18:43,1/13/16 19:00,10.286
1/13/16 18:43,1/13/16 20:00,10.44
1/13/16 18:43,1/13/16 21:00,11.114
1/13/16 18:43,1/13/16 22:00,11.878
1/13/16 18:43,1/13/16 23:00,12.43
1/13/16 18:43,1/14/16 0:00,12.673
1/13/16 18:43,1/14/16 1:00,12.532
1/13/16 18:43,1/14/16 2:00,11.453
1/13/16 18:43,1/14/16 3:00,10.177
1/13/16 18:43,1/14/16 4:00,9.023
1/13/16 18:43,1/14/16 5:00,7.986
1/13/16 18:43,1/14/16 6:00,7.103
1/13/16 18:43,1/14/16 7:00,6.351
1/13/16 18:43,1/14/16 8:00,5.697
1/13/16 18:43,1/14/16 9:00,5.105
1/13/16 18:43,1/14/16 10:00,4.581
1/13/16 18:43,1/14/16 11:00,4.163
1/13/16 18:43,1/14/16 12:00,3.867
1/13/16 18:43,1/14/16 13:00,3.646
1/13/16 18:43,1/14/16 14:00,3.46
1/13/16 18:43,1/14/16 15:00,3.31
1/13/16 18:43,1/14/16 16:00,3.201
1/13/16 18:43,1/14/16 17:00,3.125
1/13/16 18:43,1/14/16 18:00,3.073
1/13/16 18:43,1/14/16 19:00,3.039
1/13/16 18:43,1/14/16 20:00,3.023
1/13/16 18:43,1/14/16 21:00,3.989
1/13/16 18:43,1/14/16 22:00,6.439
1/13/16 18:43,1/14/16 23:00,8.561
1/13/16 18:43,1/15/16 0:00,10.081
1/13/16 18:43,1/15/16 1:00,11.151
1/13/16 18:43,1/15/16 2:00,11.171
1/13/16 18:43,1/15/16 3:00,10.399
1/13/16 18:43,1/15/16 4:00,9.608
1/13/16 18:43,1/15/16 5:00,8.95
1/13/16 18:43,1/15/16 6:00,8.39
1/13/16 18:43,1/15/16 7:00,7.907
1/13/16 18:43,1/15/16 8:00,7.45
1/13/16 18:43,1/15/16 9:00,6.971
1/13/16 18:43,1/15/16 10:00,6.514
1/13/16 18:43,1/15/16 11:00,6.132
1/13/16 18:43,1/15/16 12:00,5.832
1/13/16 18:43,1/15/16 13:00,5.605
1/13/16 18:43,1/15/16 14:00,5.415
1/13/16 18:43,1/15/16 15:00,5.189
1/13/16 18:43,1/15/16 16:00,4.931
1/13/16 18:43,1/15/16 17:00,4.705
1/13/16 18:43,1/15/16 18:00,4.524
1/13/16 18:43,1/15/16 19:00,4.386
1/13/16 18:43,1/15/16 20:00,4.279
1/13/16 18:43,1/15/16 21:00,4.189
1/13/16 18:43,1/15/16 22:00,4.114
1/13/16 18:43,1/15/16 23:00,4.058
1/13/16 18:43,1/16/16 0:00,4.017
1/13/16 18:43,1/16/16 1:00,3.99
1/13/16 18:43,1/16/16 2:00,3.975
1/13/16 18:43,1/16/16 3:00,4.059
