pst, cfs, stage_ft
2016-01-10 00:00,	3280	,	4.25	
2016-01-10 00:15,	3280	,	4.25	
2016-01-10 00:30,	3380	,	4.32	
2016-01-10 00:45,	3330	,	4.28	
2016-01-10 01:00,	3330	,	4.28	
2016-01-10 01:15,	3240	,	4.22	
2016-01-10 01:30,	3320	,	4.27	
2016-01-10 01:45,	3310	,	4.26	
2016-01-10 02:00,	3280	,	4.25	
2016-01-10 02:15,	3200	,	4.19	
2016-01-10 02:30,	3220	,	4.20	
2016-01-10 02:45,	3280	,	4.25	
2016-01-10 03:00,	3190	,	4.18	
2016-01-10 03:15,	3180	,	4.17	
2016-01-10 03:30,	3160	,	4.16	
2016-01-10 03:45,	3200	,	4.19	
2016-01-10 04:00,	3180	,	4.17	
2016-01-10 04:15,	3190	,	4.18	
2016-01-10 04:30,	3110	,	4.12	
2016-01-10 04:45,	3140	,	4.14	
2016-01-10 05:00,	3090	,	4.10	
2016-01-10 05:15,	3100	,	4.11	
2016-01-10 05:30,	3010	,	4.05	
2016-01-10 05:45,	3040	,	4.07	
2016-01-10 06:00,	3000	,	4.04	
2016-01-10 06:15,	2990	,	4.03	
2016-01-10 06:30,	2960	,	4.01	
2016-01-10 06:45,	2910	,	3.97	
2016-01-10 07:00,	2960	,	4.01	
2016-01-10 07:15,	2890	,	3.95	
2016-01-10 07:30,	2900	,	3.96	
2016-01-10 07:45,	2950	,	4.00	
2016-01-10 08:00,	2910	,	3.97	
2016-01-10 08:15,	2910	,	3.97	
2016-01-10 08:30,	2830	,	3.91	
2016-01-10 08:45,	2830	,	3.91	
2016-01-10 09:00,	2850	,	3.93	
2016-01-10 09:15,	2850	,	3.93	
2016-01-10 09:30,	2800	,	3.89	
2016-01-10 09:45,	2800	,	3.89	
2016-01-10 10:00,	2830	,	3.91	
2016-01-10 10:15,	2800	,	3.89	
2016-01-10 10:30,	2770	,	3.86	
2016-01-10 10:45,	2810	,	3.90	
2016-01-10 11:00,	2780	,	3.87	
2016-01-10 11:15,	2710	,	3.81	
2016-01-10 11:30,	2770	,	3.86	
2016-01-10 11:45,	2770	,	3.86	
2016-01-10 12:00,	2650	,	3.77	
2016-01-10 12:15,	2660	,	3.78	
2016-01-10 12:30,	2680	,	3.79	
2016-01-10 12:45,	2720	,	3.82	
2016-01-10 13:00,	2660	,	3.78	
2016-01-10 13:15,	2630	,	3.76	
2016-01-10 13:30,	2690	,	3.80	
2016-01-10 13:45,	2560	,	3.70	
2016-01-10 14:00,	2680	,	3.79	
2016-01-10 14:15,	2590	,	3.72	
2016-01-10 14:30,	2620	,	3.75	
2016-01-10 14:45,	2620	,	3.75	
2016-01-10 15:00,	2560	,	3.70	
2016-01-10 15:15,	2540	,	3.68	
2016-01-10 15:30,	2560	,	3.70	
2016-01-10 15:45,	2540	,	3.68	
2016-01-10 16:00,	2490	,	3.64	
2016-01-10 16:15,	2550	,	3.69	
2016-01-10 16:30,	2550	,	3.69	
2016-01-10 16:45,	2540	,	3.68	
2016-01-10 17:00,	2460	,	3.62	
2016-01-10 17:15,	2520	,	3.66	
2016-01-10 17:30,	2540	,	3.68	
2016-01-10 17:45,	2490	,	3.64	
2016-01-10 18:00,	2550	,	3.69	
2016-01-10 18:15,	2540	,	3.68	
2016-01-10 18:30,	2430	,	3.60	
2016-01-10 18:45,	2490	,	3.64	
2016-01-10 19:00,	2470	,	3.63	
2016-01-10 19:15,	2420	,	3.59	
2016-01-10 19:30,	2370	,	3.54	
2016-01-10 19:45,	2450	,	3.61	
2016-01-10 20:00,	2450	,	3.61	
2016-01-10 20:15,	2450	,	3.61	
2016-01-10 20:30,	2460	,	3.62	
2016-01-10 20:45,	2430	,	3.60	
2016-01-10 21:00,	2450	,	3.61	
2016-01-10 21:15,	2390	,	3.56	
2016-01-10 21:30,	2370	,	3.54	
2016-01-10 21:45,	2380	,	3.55	
2016-01-10 22:00,	2350	,	3.53	
2016-01-10 22:15,	2380	,	3.55	
2016-01-10 22:30,	2370	,	3.54	
2016-01-10 22:45,	2390	,	3.56	
2016-01-10 23:00,	2370	,	3.54	
2016-01-10 23:15,	2410	,	3.58	
2016-01-10 23:30,	2380	,	3.55	
2016-01-10 23:45,	2350	,	3.53	
2016-01-11 00:00,	2330	,	3.51	
2016-01-11 00:15,	2380	,	3.55	
2016-01-11 00:30,	2390	,	3.56	
2016-01-11 00:45,	2320	,	3.50	
2016-01-11 01:00,	2330	,	3.51	
2016-01-11 01:15,	2380	,	3.55	
2016-01-11 01:30,	2370	,	3.54	
2016-01-11 01:45,	2230	,	3.43	
2016-01-11 02:00,	2320	,	3.50	
2016-01-11 02:15,	2320	,	3.50	
2016-01-11 02:30,	2270	,	3.47	
2016-01-11 02:45,	2350	,	3.53	
2016-01-11 03:00,	2300	,	3.48	
2016-01-11 03:15,	2320	,	3.50	
2016-01-11 03:30,	2330	,	3.51	
2016-01-11 03:45,	2310	,	3.49	
2016-01-11 04:00,	2340	,	3.52	
2016-01-11 04:15,	2330	,	3.51	
2016-01-11 04:30,	2340	,	3.52	
2016-01-11 04:45,	2320	,	3.50	
2016-01-11 05:00,	2250	,	3.45	
2016-01-11 05:15,	2220	,	3.42	
2016-01-11 05:30,	2260	,	3.46	
2016-01-11 05:45,	2250	,	3.45	
2016-01-11 06:00,	2230	,	3.43	
2016-01-11 06:15,	2230	,	3.43	
2016-01-11 06:30,	2240	,	3.44	
2016-01-11 06:45,	2240	,	3.44	
2016-01-11 07:00,	2170	,	3.38	
2016-01-11 07:15,	2230	,	3.43	
2016-01-11 07:30,	2240	,	3.44	
2016-01-11 07:45,	2220	,	3.42	
2016-01-11 08:00,	2260	,	3.46	
2016-01-11 08:15,	2220	,	3.42	
2016-01-11 08:30,	2240	,	3.44	
2016-01-11 08:45,	2240	,	3.44	
2016-01-11 09:00,	2220	,	3.42	
2016-01-11 09:15,	2230	,	3.43	
2016-01-11 09:30,	2230	,	3.43	
2016-01-11 09:45,	2270	,	3.47	
2016-01-11 10:00,	2160	,	3.37	
2016-01-11 10:15,	2230	,	3.43	
2016-01-11 10:30,	2210	,	3.41	
2016-01-11 10:45,	2200	,	3.40	
2016-01-11 11:00,	2170	,	3.38	
2016-01-11 11:15,	2240	,	3.44	
2016-01-11 11:30,	2220	,	3.42	
2016-01-11 11:45,	2210	,	3.41	
2016-01-11 12:00,	2170	,	3.38	
2016-01-11 12:15,	2210	,	3.41	
2016-01-11 12:30,	2140	,	3.35	
2016-01-11 12:45,	2190	,	3.39	
2016-01-11 13:00,	2200	,	3.40	
2016-01-11 13:15,	2060	,	3.29	
2016-01-11 13:30,	2170	,	3.38	
2016-01-11 13:45,	2200	,	3.40	
2016-01-11 14:00,	2170	,	3.38	
2016-01-11 14:15,	2150	,	3.36	
2016-01-11 14:30,	2210	,	3.41	
2016-01-11 14:45,	2190	,	3.39	
2016-01-11 15:00,	2240	,	3.44	
2016-01-11 15:15,	2210	,	3.41	
2016-01-11 15:30,	2230	,	3.43	
2016-01-11 15:45,	2220	,	3.42	
2016-01-11 16:00,	2210	,	3.41	
2016-01-11 16:15,	2170	,	3.38	
2016-01-11 16:30,	2210	,	3.41	
2016-01-11 16:45,	2190	,	3.39	
2016-01-11 17:00,	2210	,	3.41	
2016-01-11 17:15,	2250	,	3.45	
2016-01-11 17:30,	2210	,	3.41	
2016-01-11 17:45,	2220	,	3.42	
2016-01-11 18:00,	2240	,	3.44	
2016-01-11 18:15,	2190	,	3.39	
2016-01-11 18:30,	2260	,	3.46	
2016-01-11 18:45,	2170	,	3.38	
2016-01-11 19:00,	2210	,	3.41	
2016-01-11 19:15,	2250	,	3.45	
2016-01-11 19:30,	2270	,	3.47	
2016-01-11 19:45,	2250	,	3.45	
2016-01-11 20:00,	2250	,	3.45	
2016-01-11 20:15,	2270	,	3.47	
2016-01-11 20:30,	2220	,	3.42	
2016-01-11 20:45,	2270	,	3.47	
2016-01-11 21:00,	2250	,	3.45	
2016-01-11 21:15,	2230	,	3.43	
2016-01-11 21:30,	2250	,	3.45	
2016-01-11 21:45,	2320	,	3.50	
2016-01-11 22:00,	2230	,	3.43	
2016-01-11 22:15,	2260	,	3.46	
2016-01-11 22:30,	2330	,	3.51	
2016-01-11 22:45,	2240	,	3.44	
2016-01-11 23:00,	2340	,	3.52	
2016-01-11 23:15,	2300	,	3.48	
2016-01-11 23:30,	2300	,	3.48	
2016-01-11 23:45,	2270	,	3.47	
2016-01-12 00:00,	2320	,	3.50	
2016-01-12 00:15,	2320	,	3.50	
2016-01-12 00:30,	2260	,	3.46	
2016-01-12 00:45,	2300	,	3.48	
2016-01-12 01:00,	2330	,	3.51	
2016-01-12 01:15,	2380	,	3.55	
2016-01-12 01:30,	2320	,	3.50	
2016-01-12 01:45,	2320	,	3.50	
2016-01-12 02:00,	2320	,	3.50	
2016-01-12 02:15,	2230	,	3.43	
2016-01-12 02:30,	2390	,	3.56	
2016-01-12 02:45,	2260	,	3.46	
2016-01-12 03:00,	2330	,	3.51	
2016-01-12 03:15,	2300	,	3.48	
2016-01-12 03:30,	2350	,	3.53	
2016-01-12 03:45,	2320	,	3.50	
2016-01-12 04:00,	2310	,	3.49	
2016-01-12 04:15,	2330	,	3.51	
2016-01-12 04:30,	2270	,	3.47	
2016-01-12 04:45,	2320	,	3.50	
2016-01-12 05:00,	2330	,	3.51	
2016-01-12 05:15,	2310	,	3.49	
2016-01-12 05:30,	2240	,	3.44	
2016-01-12 05:45,	2340	,	3.52	
2016-01-12 06:00,	2240	,	3.44	
2016-01-12 06:15,	2240	,	3.44	
2016-01-12 06:30,	2340	,	3.52	
2016-01-12 06:45,	2260	,	3.46	
2016-01-12 07:00,	2240	,	3.44	
2016-01-12 07:15,	2270	,	3.47	
2016-01-12 07:30,	2320	,	3.50	
2016-01-12 07:45,	2230	,	3.43	
2016-01-12 08:00,	2230	,	3.43	
2016-01-12 08:15,	2250	,	3.45	
2016-01-12 08:30,	2220	,	3.42	
2016-01-12 08:45,	2260	,	3.46	
2016-01-12 09:00,	2240	,	3.44	
2016-01-12 09:15,	2200	,	3.40	
2016-01-12 09:30,	2260	,	3.46	
2016-01-12 09:45,	2260	,	3.46	
2016-01-12 10:00,	2250	,	3.45	
2016-01-12 10:15,	2240	,	3.44	
2016-01-12 10:30,	2200	,	3.40	
2016-01-12 10:45,	2240	,	3.44	
2016-01-12 11:00,	2240	,	3.44	
2016-01-12 11:15,	2230	,	3.43	
2016-01-12 11:30,	2240	,	3.44	
2016-01-12 11:45,	2250	,	3.45	
2016-01-12 12:00,	2210	,	3.41	
2016-01-12 12:15,	2240	,	3.44	
2016-01-12 12:30,	2240	,	3.44	
2016-01-12 12:45,	2220	,	3.42	
2016-01-12 13:00,	2240	,	3.44	
2016-01-12 13:15,	2220	,	3.42	
