"","fcast_i_gmt","fcast_t_gmt","kcfs","fcast_t_pst","fcast_i_pst","cfs","fcast_i_pst_date","feet","mefp_yr"
"1",2016-01-17 16:18:00,2016-01-17 17:00:00,9.751,2016-01-17 09:00:00,2016-01-17 08:18:00,9751,2016-01-17,8.04879518072289,"dtrmnstc"
"2",2016-01-17 16:18:00,2016-01-17 18:00:00,15.052,2016-01-17 10:00:00,2016-01-17 08:18:00,15052,2016-01-17,10.605,"dtrmnstc"
"3",2016-01-17 16:18:00,2016-01-17 19:00:00,21.494,2016-01-17 11:00:00,2016-01-17 08:18:00,21494,2016-01-17,13.19,"dtrmnstc"
"4",2016-01-17 16:18:00,2016-01-17 20:00:00,25.13,2016-01-17 12:00:00,2016-01-17 08:18:00,25130,2016-01-17,14.5464285714286,"dtrmnstc"
"5",2016-01-17 16:18:00,2016-01-17 21:00:00,28.333,2016-01-17 13:00:00,2016-01-17 08:18:00,28333,2016-01-17,15.6443333333333,"dtrmnstc"
"6",2016-01-17 16:18:00,2016-01-17 22:00:00,30.903,2016-01-17 14:00:00,2016-01-17 08:18:00,30903,2016-01-17,16.501,"dtrmnstc"
"7",2016-01-17 16:18:00,2016-01-17 23:00:00,32.857,2016-01-17 15:00:00,2016-01-17 08:18:00,32857,2016-01-17,17.1428125,"dtrmnstc"
"8",2016-01-17 16:18:00,2016-01-18 00:00:00,34.403,2016-01-17 16:00:00,2016-01-17 08:18:00,34403,2016-01-17,17.6259375,"dtrmnstc"
"9",2016-01-17 16:18:00,2016-01-18 01:00:00,35.588,2016-01-17 17:00:00,2016-01-17 08:18:00,35588,2016-01-17,17.99625,"dtrmnstc"
"10",2016-01-17 16:18:00,2016-01-18 02:00:00,36.337,2016-01-17 18:00:00,2016-01-17 08:18:00,36337,2016-01-17,18.2303125,"dtrmnstc"
"11",2016-01-17 16:18:00,2016-01-18 03:00:00,36.509,2016-01-17 19:00:00,2016-01-17 08:18:00,36509,2016-01-17,18.2840625,"dtrmnstc"
"12",2016-01-17 16:18:00,2016-01-18 04:00:00,35.889,2016-01-17 20:00:00,2016-01-17 08:18:00,35889,2016-01-17,18.0903125,"dtrmnstc"
"13",2016-01-17 16:18:00,2016-01-18 05:00:00,34.045,2016-01-17 21:00:00,2016-01-17 08:18:00,34045,2016-01-17,17.5140625,"dtrmnstc"
"14",2016-01-17 16:18:00,2016-01-18 06:00:00,31.315,2016-01-17 22:00:00,2016-01-17 08:18:00,31315,2016-01-17,16.6383333333333,"dtrmnstc"
"15",2016-01-17 16:18:00,2016-01-18 07:00:00,28.128,2016-01-17 23:00:00,2016-01-17 08:18:00,28128,2016-01-17,15.576,"dtrmnstc"
"16",2016-01-17 16:18:00,2016-01-18 08:00:00,25.316,2016-01-18 00:00:00,2016-01-17 08:18:00,25316,2016-01-17,14.6128571428571,"dtrmnstc"
"17",2016-01-17 16:18:00,2016-01-18 09:00:00,22.88,2016-01-18 01:00:00,2016-01-17 08:18:00,22880,2016-01-17,13.7230769230769,"dtrmnstc"
"18",2016-01-17 16:18:00,2016-01-18 10:00:00,20.7,2016-01-18 02:00:00,2016-01-17 08:18:00,20700,2016-01-17,12.8846153846154,"dtrmnstc"
"19",2016-01-17 16:18:00,2016-01-18 11:00:00,18.89,2016-01-18 03:00:00,2016-01-17 08:18:00,18890,2016-01-17,12.1884615384615,"dtrmnstc"
"20",2016-01-17 16:18:00,2016-01-18 12:00:00,17.192,2016-01-18 04:00:00,2016-01-17 08:18:00,17192,2016-01-17,11.4966666666667,"dtrmnstc"
"21",2016-01-17 16:18:00,2016-01-18 13:00:00,16.312,2016-01-18 05:00:00,2016-01-17 08:18:00,16312,2016-01-17,11.13,"dtrmnstc"
"22",2016-01-17 16:18:00,2016-01-18 14:00:00,14.78,2016-01-18 06:00:00,2016-01-17 08:18:00,14780,2016-01-17,10.4909090909091,"dtrmnstc"
"23",2016-01-17 16:18:00,2016-01-18 15:00:00,13.601,2016-01-18 07:00:00,2016-01-17 08:18:00,13601,2016-01-17,9.955,"dtrmnstc"
