forecast_issuance,forecast_time,kcfs
10/15/2014 14:02,10/15/2014 0:00,-9999
10/15/2014 14:02,10/15/2014 1:00,-9999
10/15/2014 14:02,10/15/2014 2:00,-9999
10/15/2014 14:02,10/15/2014 3:00,-9999
10/15/2014 14:02,10/15/2014 4:00,-9999
10/15/2014 14:02,10/15/2014 5:00,-9999
10/15/2014 14:02,10/15/2014 6:00,-9999
10/15/2014 14:02,10/15/2014 7:00,-9999
10/15/2014 14:02,10/15/2014 8:00,-9999
10/15/2014 14:02,10/15/2014 9:00,-9999
10/15/2014 14:02,10/15/2014 10:00,-9999
10/15/2014 14:02,10/15/2014 11:00,-9999
10/15/2014 14:02,10/15/2014 12:00,-9999
10/15/2014 14:02,10/15/2014 13:00,-9999
10/15/2014 14:02,10/15/2014 14:00,-9999
10/15/2014 14:02,10/15/2014 15:00,0.009
10/15/2014 14:02,10/15/2014 16:00,0.011
10/15/2014 14:02,10/15/2014 17:00,0.014
10/15/2014 14:02,10/15/2014 18:00,0.016
10/15/2014 14:02,10/15/2014 19:00,0.018
10/15/2014 14:02,10/15/2014 20:00,0.019
10/15/2014 14:02,10/15/2014 21:00,0.021
10/15/2014 14:02,10/15/2014 22:00,0.021
10/15/2014 14:02,10/15/2014 23:00,0.021
10/15/2014 14:02,10/16/2014 0:00,0.021
10/15/2014 14:02,10/16/2014 1:00,0.021
10/15/2014 14:02,10/16/2014 2:00,0.02
10/15/2014 14:02,10/16/2014 3:00,0.02
10/15/2014 14:02,10/16/2014 4:00,0.019
10/15/2014 14:02,10/16/2014 5:00,0.018
10/15/2014 14:02,10/16/2014 6:00,0.017
10/15/2014 14:02,10/16/2014 7:00,0.015
10/15/2014 14:02,10/16/2014 8:00,0.014
10/15/2014 14:02,10/16/2014 9:00,0.013
10/15/2014 14:02,10/16/2014 10:00,0.012
10/15/2014 14:02,10/16/2014 11:00,0.012
10/15/2014 14:02,10/16/2014 12:00,0.011
10/15/2014 14:02,10/16/2014 13:00,0.01
10/15/2014 14:02,10/16/2014 14:00,0.009
10/15/2014 14:02,10/16/2014 15:00,0.009
10/15/2014 14:02,10/16/2014 16:00,0.008
10/15/2014 14:02,10/16/2014 17:00,0.008
