forecast_issuance,forecast_time,kcfs
10/23/14 15:08,10/23/14 0:00,-9999
10/23/14 15:08,10/23/14 1:00,-9999
10/23/14 15:08,10/23/14 2:00,-9999
10/23/14 15:08,10/23/14 3:00,-9999
10/23/14 15:08,10/23/14 4:00,-9999
10/23/14 15:08,10/23/14 5:00,-9999
10/23/14 15:08,10/23/14 6:00,-9999
10/23/14 15:08,10/23/14 7:00,-9999
10/23/14 15:08,10/23/14 8:00,-9999
10/23/14 15:08,10/23/14 9:00,-9999
10/23/14 15:08,10/23/14 10:00,-9999
10/23/14 15:08,10/23/14 11:00,-9999
10/23/14 15:08,10/23/14 12:00,-9999
10/23/14 15:08,10/23/14 13:00,-9999
10/23/14 15:08,10/23/14 14:00,-9999
10/23/14 15:08,10/23/14 15:00,-9999
10/23/14 15:08,10/23/14 16:00,0.053
10/23/14 15:08,10/23/14 17:00,0.055
10/23/14 15:08,10/23/14 18:00,0.06
10/23/14 15:08,10/23/14 19:00,0.069
10/23/14 15:08,10/23/14 20:00,0.083
10/23/14 15:08,10/23/14 21:00,0.106
10/23/14 15:08,10/23/14 22:00,0.137
10/23/14 15:08,10/23/14 23:00,0.175
10/23/14 15:08,10/24/14 0:00,0.217
10/23/14 15:08,10/24/14 1:00,0.262
10/23/14 15:08,10/24/14 2:00,0.308
10/23/14 15:08,10/24/14 3:00,0.353
10/23/14 15:08,10/24/14 4:00,0.397
10/23/14 15:08,10/24/14 5:00,0.438
10/23/14 15:08,10/24/14 6:00,0.478
10/23/14 15:08,10/24/14 7:00,0.513
10/23/14 15:08,10/24/14 8:00,0.546
10/23/14 15:08,10/24/14 9:00,0.573
10/23/14 15:08,10/24/14 10:00,0.591
10/23/14 15:08,10/24/14 11:00,0.6
10/23/14 15:08,10/24/14 12:00,0.603
10/23/14 15:08,10/24/14 13:00,0.601
10/23/14 15:08,10/24/14 14:00,0.596
10/23/14 15:08,10/24/14 15:00,0.589
10/23/14 15:08,10/24/14 16:00,0.58
10/23/14 15:08,10/24/14 17:00,0.571
10/23/14 15:08,10/24/14 18:00,0.562
10/23/14 15:08,10/24/14 19:00,0.551
10/23/14 15:08,10/24/14 20:00,0.54
10/23/14 15:08,10/24/14 21:00,0.526
10/23/14 15:08,10/24/14 22:00,0.514
10/23/14 15:08,10/24/14 23:00,0.499
10/23/14 15:08,10/25/14 0:00,0.484
10/23/14 15:08,10/25/14 1:00,0.468
10/23/14 15:08,10/25/14 2:00,0.452
10/23/14 15:08,10/25/14 3:00,0.436
10/23/14 15:08,10/25/14 4:00,0.419
10/23/14 15:08,10/25/14 5:00,0.403
10/23/14 15:08,10/25/14 6:00,0.387
10/23/14 15:08,10/25/14 7:00,0.371
10/23/14 15:08,10/25/14 8:00,0.356
10/23/14 15:08,10/25/14 9:00,0.342
10/23/14 15:08,10/25/14 10:00,0.33
10/23/14 15:08,10/25/14 11:00,0.319
10/23/14 15:08,10/25/14 12:00,0.311
10/23/14 15:08,10/25/14 13:00,0.306
10/23/14 15:08,10/25/14 14:00,0.308
10/23/14 15:08,10/25/14 15:00,0.317
10/23/14 15:08,10/25/14 16:00,0.335
10/23/14 15:08,10/25/14 17:00,0.359
