stage_ft,flow_cfs
0,8
0.5,55
1,184
1.5,458
2,825
2.5,1260
3,1770
3.5,2330
4,2960
4.5,3650
5,4380
5.5,5140
6,5930
6.5,6760
7,7630
7.5,8540
8,9490
8.5,10500
9,11500
9.5,12600
10,13700
10.5,14800
11,16000
11.5,17200
12,18400
12.5,19700
13,21000
13.5,22300
14,23600
14.5,25000
15,26400
15.5,27900
16,29400
16.5,30900
17,32400
17.5,34000
18,35600
18.5,37200
19,38800
19.5,40500
20,42200
20.5,43900
21,45700
21.5,47400
22,49200
22.5,51100
23,52900
23.5,54800
24,56700
24.5,58600
25,60600
25.5,62500
26,64500
26.5,66600
27,68600
27.5,70700
28,72800
