"","fcast_i_gmt","fcast_t_gmt","kcfs","fcast_t_pst","fcast_i_pst","cfs","fcast_i_pst_date","feet","mefp_yr"
"1",2014-10-23 15:08:00,2014-10-23 16:00:00,0.053,2014-10-23 08:00:00,2014-10-23 07:08:00,53,2014-10-23,0.478723404255319,"dtrmnstc"
"2",2014-10-23 15:08:00,2014-10-23 17:00:00,0.055,2014-10-23 09:00:00,2014-10-23 07:08:00,55,2014-10-23,0.5,"dtrmnstc"
"3",2014-10-23 15:08:00,2014-10-23 18:00:00,0.06,2014-10-23 10:00:00,2014-10-23 07:08:00,60,2014-10-23,0.51937984496124,"dtrmnstc"
"4",2014-10-23 15:08:00,2014-10-23 19:00:00,0.069,2014-10-23 11:00:00,2014-10-23 07:08:00,69,2014-10-23,0.554263565891473,"dtrmnstc"
"5",2014-10-23 15:08:00,2014-10-23 20:00:00,0.083,2014-10-23 12:00:00,2014-10-23 07:08:00,83,2014-10-23,0.608527131782946,"dtrmnstc"
"6",2014-10-23 15:08:00,2014-10-23 21:00:00,0.106,2014-10-23 13:00:00,2014-10-23 07:08:00,106,2014-10-23,0.697674418604651,"dtrmnstc"
"7",2014-10-23 15:08:00,2014-10-23 22:00:00,0.137,2014-10-23 14:00:00,2014-10-23 07:08:00,137,2014-10-23,0.817829457364341,"dtrmnstc"
"8",2014-10-23 15:08:00,2014-10-23 23:00:00,0.175,2014-10-23 15:00:00,2014-10-23 07:08:00,175,2014-10-23,0.965116279069767,"dtrmnstc"
"9",2014-10-23 15:08:00,2014-10-24 00:00:00,0.217,2014-10-23 16:00:00,2014-10-23 07:08:00,217,2014-10-23,1.06021897810219,"dtrmnstc"
"10",2014-10-23 15:08:00,2014-10-24 01:00:00,0.262,2014-10-23 17:00:00,2014-10-23 07:08:00,262,2014-10-23,1.14233576642336,"dtrmnstc"
"11",2014-10-23 15:08:00,2014-10-24 02:00:00,0.308,2014-10-23 18:00:00,2014-10-23 07:08:00,308,2014-10-23,1.22627737226277,"dtrmnstc"
"12",2014-10-23 15:08:00,2014-10-24 03:00:00,0.353,2014-10-23 19:00:00,2014-10-23 07:08:00,353,2014-10-23,1.30839416058394,"dtrmnstc"
"13",2014-10-23 15:08:00,2014-10-24 04:00:00,0.397,2014-10-23 20:00:00,2014-10-23 07:08:00,397,2014-10-23,1.38868613138686,"dtrmnstc"
"14",2014-10-23 15:08:00,2014-10-24 05:00:00,0.438,2014-10-23 21:00:00,2014-10-23 07:08:00,438,2014-10-23,1.46350364963504,"dtrmnstc"
"15",2014-10-23 15:08:00,2014-10-24 06:00:00,0.478,2014-10-23 22:00:00,2014-10-23 07:08:00,478,2014-10-23,1.52724795640327,"dtrmnstc"
"16",2014-10-23 15:08:00,2014-10-24 07:00:00,0.513,2014-10-23 23:00:00,2014-10-23 07:08:00,513,2014-10-23,1.57493188010899,"dtrmnstc"
"17",2014-10-23 15:08:00,2014-10-24 08:00:00,0.546,2014-10-24 00:00:00,2014-10-23 07:08:00,546,2014-10-23,1.61989100817439,"dtrmnstc"
"18",2014-10-23 15:08:00,2014-10-24 09:00:00,0.573,2014-10-24 01:00:00,2014-10-23 07:08:00,573,2014-10-23,1.6566757493188,"dtrmnstc"
"19",2014-10-23 15:08:00,2014-10-24 10:00:00,0.591,2014-10-24 02:00:00,2014-10-23 07:08:00,591,2014-10-23,1.68119891008174,"dtrmnstc"
"20",2014-10-23 15:08:00,2014-10-24 11:00:00,0.6,2014-10-24 03:00:00,2014-10-23 07:08:00,600,2014-10-23,1.69346049046322,"dtrmnstc"
"21",2014-10-23 15:08:00,2014-10-24 12:00:00,0.603,2014-10-24 04:00:00,2014-10-23 07:08:00,603,2014-10-23,1.69754768392371,"dtrmnstc"
"22",2014-10-23 15:08:00,2014-10-24 13:00:00,0.601,2014-10-24 05:00:00,2014-10-23 07:08:00,601,2014-10-23,1.69482288828338,"dtrmnstc"
"23",2014-10-23 15:08:00,2014-10-24 14:00:00,0.596,2014-10-24 06:00:00,2014-10-23 07:08:00,596,2014-10-23,1.68801089918256,"dtrmnstc"
"24",2014-10-23 15:08:00,2014-10-24 15:00:00,0.589,2014-10-24 07:00:00,2014-10-23 07:08:00,589,2014-10-23,1.67847411444142,"dtrmnstc"
"25",2014-10-23 15:08:00,2014-10-24 16:00:00,0.58,2014-10-24 08:00:00,2014-10-23 07:08:00,580,2014-10-23,1.66621253405995,"dtrmnstc"
"26",2014-10-23 15:08:00,2014-10-24 17:00:00,0.571,2014-10-24 09:00:00,2014-10-23 07:08:00,571,2014-10-23,1.65395095367847,"dtrmnstc"
"27",2014-10-23 15:08:00,2014-10-24 18:00:00,0.562,2014-10-24 10:00:00,2014-10-23 07:08:00,562,2014-10-23,1.641689373297,"dtrmnstc"
"28",2014-10-23 15:08:00,2014-10-24 19:00:00,0.551,2014-10-24 11:00:00,2014-10-23 07:08:00,551,2014-10-23,1.6267029972752,"dtrmnstc"
"29",2014-10-23 15:08:00,2014-10-24 20:00:00,0.54,2014-10-24 12:00:00,2014-10-23 07:08:00,540,2014-10-23,1.61171662125341,"dtrmnstc"
"30",2014-10-23 15:08:00,2014-10-24 21:00:00,0.526,2014-10-24 13:00:00,2014-10-23 07:08:00,526,2014-10-23,1.59264305177112,"dtrmnstc"
"31",2014-10-23 15:08:00,2014-10-24 22:00:00,0.514,2014-10-24 14:00:00,2014-10-23 07:08:00,514,2014-10-23,1.57629427792916,"dtrmnstc"
"32",2014-10-23 15:08:00,2014-10-24 23:00:00,0.499,2014-10-24 15:00:00,2014-10-23 07:08:00,499,2014-10-23,1.5558583106267,"dtrmnstc"
"33",2014-10-23 15:08:00,2014-10-25 00:00:00,0.484,2014-10-24 16:00:00,2014-10-23 07:08:00,484,2014-10-23,1.53542234332425,"dtrmnstc"
"34",2014-10-23 15:08:00,2014-10-25 01:00:00,0.468,2014-10-24 17:00:00,2014-10-23 07:08:00,468,2014-10-23,1.51362397820163,"dtrmnstc"
"35",2014-10-23 15:08:00,2014-10-25 02:00:00,0.452,2014-10-24 18:00:00,2014-10-23 07:08:00,452,2014-10-23,1.48905109489051,"dtrmnstc"
"36",2014-10-23 15:08:00,2014-10-25 03:00:00,0.436,2014-10-24 19:00:00,2014-10-23 07:08:00,436,2014-10-23,1.45985401459854,"dtrmnstc"
"37",2014-10-23 15:08:00,2014-10-25 04:00:00,0.419,2014-10-24 20:00:00,2014-10-23 07:08:00,419,2014-10-23,1.42883211678832,"dtrmnstc"
"38",2014-10-23 15:08:00,2014-10-25 05:00:00,0.403,2014-10-24 21:00:00,2014-10-23 07:08:00,403,2014-10-23,1.39963503649635,"dtrmnstc"
"39",2014-10-23 15:08:00,2014-10-25 06:00:00,0.387,2014-10-24 22:00:00,2014-10-23 07:08:00,387,2014-10-23,1.37043795620438,"dtrmnstc"
"40",2014-10-23 15:08:00,2014-10-25 07:00:00,0.371,2014-10-24 23:00:00,2014-10-23 07:08:00,371,2014-10-23,1.34124087591241,"dtrmnstc"
"41",2014-10-23 15:08:00,2014-10-25 08:00:00,0.356,2014-10-25 00:00:00,2014-10-23 07:08:00,356,2014-10-23,1.31386861313869,"dtrmnstc"
"42",2014-10-23 15:08:00,2014-10-25 09:00:00,0.342,2014-10-25 01:00:00,2014-10-23 07:08:00,342,2014-10-23,1.28832116788321,"dtrmnstc"
"43",2014-10-23 15:08:00,2014-10-25 10:00:00,0.33,2014-10-25 02:00:00,2014-10-23 07:08:00,330,2014-10-23,1.26642335766423,"dtrmnstc"
"44",2014-10-23 15:08:00,2014-10-25 11:00:00,0.319,2014-10-25 03:00:00,2014-10-23 07:08:00,319,2014-10-23,1.2463503649635,"dtrmnstc"
"45",2014-10-23 15:08:00,2014-10-25 12:00:00,0.311,2014-10-25 04:00:00,2014-10-23 07:08:00,311,2014-10-23,1.23175182481752,"dtrmnstc"
"46",2014-10-23 15:08:00,2014-10-25 13:00:00,0.306,2014-10-25 05:00:00,2014-10-23 07:08:00,306,2014-10-23,1.22262773722628,"dtrmnstc"
"47",2014-10-23 15:08:00,2014-10-25 14:00:00,0.308,2014-10-25 06:00:00,2014-10-23 07:08:00,308,2014-10-23,1.22627737226277,"dtrmnstc"
"48",2014-10-23 15:08:00,2014-10-25 15:00:00,0.317,2014-10-25 07:00:00,2014-10-23 07:08:00,317,2014-10-23,1.24270072992701,"dtrmnstc"
"49",2014-10-23 15:08:00,2014-10-25 16:00:00,0.335,2014-10-25 08:00:00,2014-10-23 07:08:00,335,2014-10-23,1.27554744525547,"dtrmnstc"
